id,author,year,title,journal,vol,pg,url,pdf,created_at,updated_at,doi,user_id
3,Balasko,1984,Yield and Quality of Switchgrass Grown without Soil Amendments,Agronomy Journal,76,204–204,http://agron.scijournals.org/cgi/content/abstract/76/2/204,(paper copy available in blue folder),,2015-04-07 21:25:31.454624,10.2134/agronj1984.00021962007600020009x,
155,Price,2004,Identifying the yield potential of Miscanthus x giganteus: an assessment of the spatial and temporal variability of M. x giganteus biomass productivity across England and Wales,Biomass and Bioenergy,26,3–13,https://dx.doi.org/10.1016/S0961-9534(03)00062-X,http://ac.els-cdn.com/S096195340300062X/1-s2.0-S096195340300062X-main.pdf?_tid=aa2245ac-1cd5-11e4-af71-00000aacb361&acdnat=1407266653_74cdb0fa691793a50157506d41e6eac3,,2015-06-10 21:44:14.089715,10.1016/S0961-9534(03)00062-X,
847,Townsend,2006,Avaliação agronômica de variedades de cana-de-açúcar para fins forrageiros em Rondônia.,Revista Científica de Produção Animal,8,15–20,(https://www.bdpa.cnptia.embrapa.br/consulta/busca?b=ad&id=69657&biblioteca=vazio&busca=69657&qFacets=69657&sort=&paginacao=t&paginaAtual=1),http://ainfo.cnptia.embrapa.br/digital/bitstream/item/117145/1/RCPAv8n2p15.pdf,2016-04-11 22:24:35.826572,2016-04-11 22:24:35.826572,"",19
4,Berdahl,2005,"Biomass yield, phenology, and survival of diverse switchgrass cultivars and experimental strains in western North Dakota",Agronomy Journal,97,549–555,http://agron.scijournals.org/cgi/content/abstract/97/2/549,http://agron.scijournals.org/cgi/reprint/97/2/549.pdf,,,10.2134/agronj2005.0549,
841,Shiklomanov,2015,Experimental data from simulations of the PROSPECT4 model,"",,"","","",2015-07-13 15:21:23.074795,2015-07-13 15:22:52.876346,"",167
848,Baldocchi,2003,"Assessing the eddy covariance technique for evaluating carbon dioxide exchange rates of ecosystems: past, present and future.",Global Change Biology,23,479–492,https://dx.doi.org/10.1002/hyp.7339,"",2016-07-12 17:36:53.615249,2016-07-12 17:36:53.615249,10.1002/hyp.7339,2
849,"Liu, Changming",2002,Determination of daily evaporation and evapotranspiration of winter wheat and maize by large-scale weighing lysimeter and micro-lysimeter.,Agricultural and Forest Meteorology,,109–120,http://dx.doi.org/10.1016/S0168-1923(02)00015-1,"",2016-07-12 17:44:22.08056,2016-07-12 17:44:22.08056,10.1016/S0168-1923(02)00015-1,2
850,"Clegg, Max",1978,A Sensitive Technique for the Rapid Measurement of Carbon Dioxide Concentrations,Plant Physiology,62,924–926,(http:/​/​dx.​doi.​org/​10.​1104/​pp.​62.​6.​924),"",2016-07-12 17:49:42.133721,2016-07-12 17:49:42.133721,10.1104/​pp.​62.​6.​924,2
851,Wertin,2016,Unpublished stomatal conductance meta-analysis,"",,"","","",2016-07-12 22:18:39.014032,2016-07-12 22:18:39.014032,"",2
25,Missaoui,2005,The effect of low plant density on response to selection for biomass production in switchgrass,Euphytica,142,"",http://www.springerlink.com/content/p7418k8050606550/,http://www.springerlink.com/content/p7418k8050606550/fulltext.pdf,,2015-02-27 22:35:29.766835,10.1007/s10681-005-0149-y,
689,Ellsworth,2012,Elevated CO2 affects photosynthetic responses in canopy pine and subcanopy deciduous trees over 10 years: a synthesis from Duke FACE,Global Change Biology,18,223–242,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2011.02505.x/abstract,"",2013-05-24 14:27:05,2014-01-30 21:33:01.435364,10.1111/j.1365-2486.2011.02505.x,65
198,LeBauer,2010,Unpublished Data,"",,"","","",2010-06-29 22:43:37,2010-09-28 21:22:21,"",
199,Feng,2010,Field Data,"",,"","","",2010-06-29 22:45:47,2010-12-08 23:11:43,"",
88,Kopp,2001,Willow biomass production during ten successive annual harvests,Biomass and Bioenergy,20,1–7,http://dx.doi.org/10.1016/S0961-9534(00)00063-5,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V22-428DKNH-1-28&_cdi=5690&_user=571676&_orig=browse&_coverDate=01%2F31%2F2001&_sk=999799998&view=c&wchp=dGLzVtb-zSkWz&md5=d21279891fab0895bcd8a0faf2acb9fc&ie=/sdarticle.pdf,,2015-03-12 14:51:41.319525,10.1016/S0961-9534(00)00063-5,
100,Bunn,2004,Leaf-level productivity traits in Populus grown in short rotation coppice for biomass energy,Forestry,77,307–323,"",http://forestry.oxfordjournals.org/cgi/reprint/77/4/307,,,10.1093/forestry/77.4.307,
9,Byrd,2000,Physiological Comparisons of Switchgrass Cultivars Differing in Transpiration Efficiency,Crop Science Society of America,40,1271–1277,https://www.crops.org/publications/cs/articles/40/5/1271,https://www.crops.org/publications/cs/pdfs/40/5/1271,,2010-09-15 21:14:06,"",
32,Reynolds,2000,Nitrogen removal in switchgrass biomass under two harvest systems,Biomass and Bioenergy,70,3877–3888,http://dx.doi.org/10.1016/S0961-9534(00)00042-8,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V22-41P17W5-1-20&_cdi=5690&_user=571676&_orig=search&_coverDate=11%2F30%2F2000&_sk=999809994&view=c&wchp=dGLzVtz-zSkzS&md5=b2acba8dd9923ddaa98a31baa06c9deb&ie=/sdarticle.pdf,,,"",
37,Thomason,2004,Switchgrass response to harvest frequency and time and rate of applied nitrogen,Journal of Plant Nutrition,27,1199–1226,http://www.informaworld.com/smpp/content~content=a713648591~db=all,http://www.informaworld.com/smpp/ftinterface~content=a713648591~fulltext=713240930,,,"",
38,Varvel,2008,Comparison of corn and switchgrass on marginal soils for bioenergy,Biomass and Bioenergy,21,18–21,http://dx.doi.org/10.1016/j.biombioe.2007.07.003,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V22-4PFFD05-1-1&_cdi=5690&_user=571676&_orig=search&_coverDate=01%2F31%2F2008&_sk=999679998&view=c&wchp=dGLbVtz-zSkWb&md5=fc8331dbb267ec7e07c031a0fefcd14a&ie=/sdarticle.pdf,,,"",
47,Oguro,1985,Comparative anatomy and morphology of leaves between C3 and C4 species in Panicum,Annals of Botany,55,859–869,http://aob.oxfordjournals.org/cgi/content/abstract/55/6/859,http://aob.oxfordjournals.org/cgi/reprint/55/6/859,,,"",
51,Wullschleger,1993,Biochemical Limitations to Carbon Assimilation in C3 Plants: A Retrospective Analysis of the A/Ci Curves from 109 Species,Journal of Experimental Botany,44,907–920,http://jxb.oxfordjournals.org/cgi/content/abstract/44/5/907?ijkey=c47a46efb0770b07ce74b3affc2bcf364cbba8b7&keytype2=tf_ipsecsha,http://jxb.oxfordjournals.org/cgi/reprint/44/5/907.pdf,,2011-09-21 21:15:00,"",
50,Abbate,1996,Biomass crops for energy of possible introduction to Sicily,"Biomass for Energy and the Environment: Proceedings of Ninth European Bioenergy Conference, Copenhagen, Denmark",,622–627,https://docs.google.com/a/illinois.edu/file/d/0B3dqMusX9TImbUpMOThqQ1JSMEtNQnY4TC1OLUl5UQ/edit,"",,2014-01-30 20:00:57.511296,"",
80,Trnka,2008,Biomass production and survival rates of selected poplar clones grown under a short-rotation system on arable land,"Plant, Soil and Environment",54,78–88,http://journals.uzpi.cz/publishedArticle?journal=PSE&volume=54&firstPage=78,http://journals.uzpi.cz/uniqueFiles/00740.pdf,,,"",
81,Scarascia,1997,Production physiology and morphology of Populus species and their hybrids grown under short rotation. II. Biomass components and harvest index of hybrid and parental species clones,Canadian Journal of Forest Research,27,285–294,http://dx.doi.org/10.1139/x96-180,http://www.nrcresearchpress.com/doi/pdf/10.1139/x96-180,,2012-02-07 23:30:13,"",
83,Spinelli,2008,Harvesting Short-Rotation Poplar Plantations for Biomass Production,Croatian Journal of Forest Engineering,29,129–139,"",http://hrcak.srce.hr/file/51188,,,"",
23,Madakadze,1999,Cutting frequency and nitrogen fertilization effects on yield and nitrogen concentration of switchgrass in a short season area,Crop Science,39,552–557,http://crop.scijournals.org/cgi/content/abstract/39/2/552,"",,2015-05-07 19:18:42.375681,10.2135/cropsci1999.0011183X003900020041x,
59,Petrini,1998,Evaluation of Miscanthus Productivity in North-Central Italy,Proceedings of the 9th European Bioenergy Conference,,351–358,(paper copy available in blue folder),(paper copy available in blue folder),,2015-03-12 15:59:14.695069,"",
24,Madakadze,1999,Switchgrass biomass and chemical composition for biofuel in eastern Canada,Agronomy Journal,91,696–701,http://agron.scijournals.org/cgi/content/abstract/91/4/696,http://agron.scijournals.org/cgi/reprint/91/4/696.pdf,,2015-05-07 19:17:51.173167,10.2134/agronj1999.914696x,
