id,specie_id,name,ecotype,notes,created_at,updated_at,previous_id
55,1477,hornum,"",see brown2001pmg for details,,,mghorn
56,1477,EMI-01,"",see brown2001pmg for details,,,mgemi01
57,1477,EMI-02,"",see brown2001pmg for details,,,mgemi02
58,1477,EMI-03,"",see brown2001pmg for details,,,mgemi03
59,1477,EMI-04,"",see brown2001pmg for details,,,mgemi04
61,1479,EMI-06,"",see brown2001pmg for details,,,msaemi06
62,1479,EMI-07,"",see brown2001pmg for details,,,msiemi07
63,1479,EMI-08,"",see brown2001pmg for details,,,msiemi08
64,1479,EMI-09,"",see brown2001pmg for details,,,msiemi09
65,1479,EMI-10,"",see brown2001pmg for details,,,msiemi10
66,1478,EMI-11,"",see brown2001pmg for details,,,msiemi11
67,1478,EMI-12,"",see brown2001pmg for details,,,msiemi12
68,1478,EMI-13,"",see brown2001pmg for details,,,msiemi13
69,1478,EMI-14,"",see brown2001pmg for details,,,msiemi14
70,1478,EMI-15,"",see brown2001pmg for details,,,msiemi15
79,1478,unspecified M. sinensis genotype,"",specific genotype-level information not extracted from original publication,,,misi
81,1478,MXG by SAOF hybrid,"",F1 hybrid of Saccharum sp. and M. x giganteus,,,US84-1028
101,2863,OP42,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,OP42
106,2862,Hazendans,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,hazendans
95,1072,2059,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,205
135,1047,DN-34,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,dn34
137,2870,S301,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,s301
144,2872,S625,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,s625
146,2873,NM5,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,nm5
147,2873,NM6,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,nm6
148,2860,DN-74,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,dn74
151,2874,I-72,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,i72
590,2984,N14,"","",2016-05-06 21:12:34.52243,2016-05-06 21:12:34.52243,
591,2984,NCo310,"","",2016-05-06 21:13:08.164348,2016-05-06 21:13:08.164348,
592,2984,NiF8,"","",2016-05-06 21:13:36.970839,2016-05-06 21:13:36.970839,
156,2877,P-J-104*049,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,j104
157,2877,P-J-105*050,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,j105
158,2879,P-Oxford-494,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,poxford494
159,2880,P-gomel2-524,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,pgomel2524
152,2068,Wolterson,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,wolterson
179,2955,Muhle Larsen,"","",2010-11-23 11:31:03,2014-07-28 17:39:49.858718,muhle
115,2955,Trichobel,"","",2010-11-23 11:31:03,2014-07-28 17:39:49.858718,trichobel
218,2862,1058,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1058
219,2862,1060,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1060
220,2862,1065,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1065
78,2304,Nicotiana glauca,"","",,2014-07-28 23:26:53.782624,ngnigl
221,2862,1068,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1068
222,2862,1071,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1071
416,794,64038-4n,"",Ploidy: 4n,2012-05-29 19:22:54,2015-01-26 13:21:26.213824,""
1,938,9005438,Lowland,"",,,pv9005438
2,938,9005439,Upland,"",,,pv9005439
3,938,Alamo,Lowland,"",,,pvala
4,938,Alamo+SL933,Lowland,"",,,pvall
5,938,Alamo+Summer,Upland,"",,,pvals
6,938,Blackwell,Upland,"",,,pvbla
7,938,Blackwell+Kanlow,Upland,"",,,pvblk
8,938,Caddo,Upland,"",,,pvcad
9,938,Cathage,Lowland,"",,,pvcat
11,938,Dacotah,Upland,"",,,pvdac
223,2862,1078,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1078
224,2862,1080,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1080
225,2862,1085,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1085
226,2862,1087,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1087
87,1073,I 72,"","P. euramericana
(Dode) Guinier cv. ""San Martino"")",2010-09-27 21:48:44,2010-09-27 22:21:40,""
227,2862,1090,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1090
228,2862,1101,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1101
229,2862,1103,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1103
75,1477,Elephant grass,"","named elephant grass (Miscanthus sinensis ""giganteus"") in original (Dailianis et al 1994) citation ",,2014-07-29 00:51:14.598782,egpepu2
72,1665,Cardoon,"","",,2014-07-29 00:54:48.150746,cacyca
73,1842,Giant reed,"","",,2014-07-29 00:55:11.275472,grardo4
593,2984,N376D,"","",2016-05-06 21:14:04.808221,2016-05-06 21:14:04.808221,
594,2984,N22D,"","",2016-05-06 21:14:24.732967,2016-05-06 21:14:24.732967,
74,51190,Kochia scoparia,"","",,2014-07-29 00:56:37.803928,ksbasc5
10,938,Cave-In-Rock,Upland,"",,2014-07-10 16:03:32.19398,pvcir
77,2588,Sweet sorghum,"","",,2014-07-29 00:57:35.207962,sssobi2
80,1669,Kenaf,"","",,2014-07-29 00:58:00.764922,khica5
76,2588,Grian sorghum,"","",,2014-07-29 01:00:33.708845,gssobib
71,1667,Jerusalem artichoke,"","",,2014-07-29 01:01:16.063774,jahetu
475,938,Kansas,"","",2014-10-21 16:58:44.950327,2014-10-21 17:00:56.834755,
85,938,Greenville,"","",2010-09-16 16:49:41,2010-09-16 16:49:41,
82,2480,MXG by SAOF hybrid,NULL,F1 hybrid of Saccharum sp. and M. x giganteus,,,US84-1058
153,2864,NE-49,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,ne49
154,2864,NE-252,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,ne252
155,2864,NE-388,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,ne388
508,831,60444,Short,"",2015-03-12 17:01:25.087131,2015-04-29 18:05:47.489717,
107,2862,Hoogvorst,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,hoogvorst
110,2860,Gaver,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,gaver
111,2860,Gibecq,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,gibecq
476,938,Alamo H129,"","",2014-10-23 17:11:57.980673,2014-10-23 17:12:07.3628,
477,938,Alamo H180,"","",2014-10-23 17:12:29.062448,2014-10-23 17:12:29.062448,
478,938,Alamo H204,"","",2014-10-23 17:13:29.452342,2014-10-23 17:13:29.452342,
12,938,EyxFF,Upland,"",,,pveyx
13,938,Forestburg,Upland,"",,,pvfor
119,2862,Boelare,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,boe
122,2862,Raspalje,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,ras
123,2862,Unal,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,una
126,2860,Primo,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,pri
130,1047,NE41,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,ne41
479,938,Alamo H246,"","",2014-10-23 17:13:56.489788,2014-10-23 17:13:56.489788,
480,938,Alamo H66,"","",2014-10-23 17:14:10.627035,2014-10-23 17:14:10.627035,
481,938,Alamo HBulk,"","",2014-10-23 17:14:25.926378,2014-10-23 17:14:25.926378,
131,1047,NE-386,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,ne386
132,1047,NE-299,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,ne299
133,1047,NC-5260,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,nc5260
14,938,HDMDC3,Upland,"",,,pvhdm
15,938,HYLDC3,Upland,"",,,pvhyl
16,938,IAGT,Upland,"",,,pviag
17,938,IALM,Upland,"",,,pvial
18,938,Kanlow+Alamo,Lowland,"",,,pvkaa
19,938,Kanlow,Lowland,"",,,pvkan
134,1047,NC-5377,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,nc5377
145,2583,SVQ,"","",2010-11-23 11:31:03,2013-03-27 18:53:09,S.viminalis
230,2862,1106,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1106
231,2862,1114,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1114
232,2862,1120,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1120
482,938,Alamo L278,"","",2014-10-23 17:14:39.197959,2014-10-23 17:14:39.197959,
483,938,Alamo L467,"","",2014-10-23 17:15:00.510582,2014-10-23 17:15:00.510582,
233,2862,1122,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1122
20,938,LateSynthetic,Upland,"",,,pvlas
234,2862,1126,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1126
235,2862,1130,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1130
236,2862,1133,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1133
237,2862,1140,"","",2010-11-23 11:31:03,2010-11-23 11:31:03,1140
