treatment_id,management_id,created_at,updated_at,id
1,1541,,,1
1,1542,,,2
1,1543,,,3
1,1544,,,4
1,1545,,,5
1,1546,,,6
1,1547,,,7
2,1082,,,8
2,1095,,,9
2,1096,,,10
2,1097,,,11
2,1186,,,12
2,1187,,,13
2,1200,,,14
2,1202,,,16
3,1082,,,17
3,1083,,,18
3,1084,,,19
3,1095,,,20
3,1096,,,21
3,1097,,,22
3,1186,,,23
3,1187,,,24
3,1188,,,25
3,1189,,,26
3,1190,,,27
3,1200,,,28
3,1202,,,30
4,1082,,,31
4,1086,,,32
4,1087,,,33
4,1088,,,34
4,1095,,,35
4,1096,,,36
4,1097,,,37
4,1186,,,38
4,1187,,,39
4,1191,,,40
4,1192,,,41
4,1193,,,42
4,1200,,,43
2575,7705,2015-11-02 17:00:06.685744,2015-11-02 17:00:06.685744,12392
4,1202,,,45
5,1082,,,46
5,1089,,,47
5,1090,,,48
5,1095,,,49
5,1096,,,50
5,1097,,,51
5,1186,,,52
5,1187,,,53
5,1194,,,54
5,1195,,,55
5,1196,,,56
5,1200,,,57
1136,7706,2015-11-02 17:03:48.70803,2015-11-02 17:03:48.70803,12393
5,1202,,,59
6,1082,,,60
6,1092,,,61
6,1094,,,62
6,1095,,,63
6,1096,,,64
6,1097,,,65
6,1186,,,66
6,1187,,,67
6,1197,,,68
6,1198,,,69
6,1199,,,70
6,1200,,,71
2576,7707,2015-11-02 17:05:03.626053,2015-11-02 17:05:03.626053,12394
6,1202,,,73
7,1017,,,74
7,1018,,,75
7,1019,,,76
7,1020,,,77
7,1021,,,78
7,1022,,,79
7,1023,,,80
7,1024,,,81
7,1025,,,82
8,1017,,,83
8,1018,,,84
8,1019,,,85
8,1020,,,86
8,1021,,,87
8,1022,,,88
8,1026,,,89
8,1027,,,90
8,1028,,,91
9,1029,,,92
9,1030,,,93
9,1031,,,94
9,1032,,,95
9,1033,,,96
9,1034,,,97
9,1035,,,98
9,1036,,,99
9,1037,,,100
9,1038,,,101
9,1039,,,102
9,1040,,,103
10,1029,,,104
10,1030,,,105
10,1031,,,106
10,1032,,,107
10,1033,,,108
10,1034,,,109
10,1035,,,110
10,1036,,,111
10,1037,,,112
10,1041,,,113
10,1042,,,114
10,1043,,,115
11,981,,,116
11,982,,,117
11,983,,,118
11,984,,,119
12,981,,,120
12,982,,,121
12,983,,,122
12,984,,,123
13,981,,,124
13,982,,,125
13,983,,,126
13,984,,,127
2206,7708,2015-11-02 17:14:01.383956,2015-11-02 17:14:01.383956,12395
2577,7709,2015-11-02 17:20:32.320415,2015-11-02 17:20:32.320415,12396
16,875,,,130
17,876,,,131
19,70,,,132
19,71,,,133
19,72,,,134
19,73,,,135
19,74,,,136
19,75,,,137
19,76,,,138
19,77,,,139
19,78,,,140
19,79,,,141
19,80,,,142
19,81,,,143
19,89,,,144
19,90,,,145
19,91,,,146
19,92,,,147
19,93,,,148
20,70,,,149
20,71,,,150
20,72,,,151
20,73,,,152
20,74,,,153
20,75,,,154
20,76,,,155
20,82,,,156
20,83,,,157
20,84,,,158
20,85,,,159
20,86,,,160
20,87,,,161
20,89,,,162
20,90,,,163
20,91,,,164
20,92,,,165
20,93,,,166
2578,7710,2015-11-02 17:22:06.462624,2015-11-02 17:22:06.462624,12397
21,868,,,168
21,870,,,169
25,945,,,173
25,949,,,174
26,944,,,175
26,949,,,176
27,944,,,177
27,949,,,178
28,944,,,179
28,949,,,180
29,943,,,181
29,949,,,182
30,942,,,183
30,949,,,184
31,1484,,,185
31,1485,,,186
31,1486,,,187
31,1487,,,188
31,1539,,,189
32,1484,,,190
32,1530,,,191
32,1531,,,192
32,1532,,,193
32,1533,,,194
32,1534,,,195
32,1535,,,196
32,1536,,,197
32,1537,,,198
32,1538,,,199
32,1539,,,200
33,1484,,,201
33,1488,,,202
33,1489,,,203
33,1490,,,204
33,1539,,,205
34,1484,,,206
34,1491,,,207
34,1492,,,208
34,1493,,,209
34,1539,,,210
35,1484,,,211
35,1494,,,212
35,1495,,,213
35,1496,,,214
35,1539,,,215
36,1484,,,216
36,1497,,,217
36,1498,,,218
36,1499,,,219
36,1500,,,220
36,1501,,,221
36,1502,,,222
36,1539,,,223
37,1484,,,224
37,1503,,,225
37,1504,,,226
37,1505,,,227
37,1506,,,228
37,1507,,,229
37,1508,,,230
37,1539,,,231
38,1484,,,232
38,1509,,,233
38,1510,,,234
38,1511,,,235
38,1512,,,236
38,1513,,,237
38,1514,,,238
38,1539,,,239
39,1515,,,240
39,1516,,,241
39,1517,,,242
39,1518,,,243
39,1519,,,244
39,1520,,,245
39,1539,,,246
40,1484,,,247
40,1521,,,248
40,1522,,,249
40,1523,,,250
40,1524,,,251
40,1525,,,252
40,1526,,,253
40,1527,,,254
40,1528,,,255
40,1529,,,256
40,1539,,,257
41,963,,,258
42,1370,,,259
42,1371,,,260
42,1372,,,261
42,1373,,,262
42,1374,,,263
42,1375,,,264
42,1376,,,265
42,1377,,,266
42,1378,,,267
686,1657,,,268
687,1657,,,269
687,1658,,,270
687,1659,,,271
45,102,,,290
45,103,,,291
45,104,,,292
45,105,,,293
45,106,,,294
45,107,,,295
45,108,,,296
45,109,,,297
45,110,,,298
46,94,,,299
46,95,,,300
46,96,,,301
46,97,,,302
46,98,,,303
46,99,,,304
46,100,,,305
46,101,,,306
47,94,,,307
47,95,,,308
47,96,,,309
47,97,,,310
47,98,,,311
47,99,,,312
47,100,,,313
47,101,,,314
49,39,,,315
49,40,,,316
49,41,,,317
49,42,,,318
49,43,,,319
49,44,,,320
49,45,,,321
50,28,,,322
50,29,,,323
50,30,,,324
50,31,,,325
50,32,,,326
50,33,,,327
50,34,,,328
50,35,,,329
50,36,,,330
50,37,,,331
50,38,,,332
51,118,,,333
51,119,,,334
51,120,,,335
51,121,,,336
51,127,,,337
51,128,,,338
51,129,,,339
51,817,,,340
51,818,,,341
51,819,,,342
51,820,,,343
51,821,,,344
51,822,,,345
51,823,,,346
51,824,,,347
52,118,,,348
