id,name,description,citation_id,created_at,updated_at
3,PM,Penman-Monteith,617,2012-09-20 18:09:05,2012-09-20 18:09:05
4,REB,"",620,2012-09-20 18:11:25,2012-09-20 18:11:56
5,WB,"",621,2012-09-20 18:45:20,2012-09-20 18:45:20
6,CC,"",623,2012-09-20 19:16:36,2012-09-20 19:16:36
7,BREB,"",625,2012-09-20 19:37:48,2012-09-20 19:37:48
40,Specific Leaf Area Leaf Punch,"3 dried leaf punches, 
area of leaf punch = 2.01 cm2, 
radius = 16 mm",,2017-02-20 19:17:47.489506,2017-02-20 19:17:47.489506
11,BREB/Lysimeter,"",641,2012-09-30 23:15:21,2012-09-30 23:15:21
14,SWB,Soil Water Balance ,653,2012-10-04 18:46:00,2012-10-04 18:46:00
15,PT,Priestley-Taylor,653,2012-10-04 18:46:35,2012-10-04 18:46:35
16,P,Penman,653,2012-10-04 18:47:01,2012-10-04 18:47:01
17,PM,Penman-Monteith ,653,2012-10-04 18:47:28,2012-10-04 18:47:28
18,H,Hargreaves ,653,2012-10-04 18:47:52,2012-10-04 18:47:52
19,Warburg Manometric,"gas exchange is measured as pressure changes. Original reference is in W. W. Umbreit, R. H. Burris, J. F. Stauffer 1951 Manometric and Biochemical Techniques. But the book is  Allen 1969 and Lahde 1966 provide early references.",673,2013-01-14 20:45:48,2013-01-15 16:18:53
20,Oxygen Electrode,"",233,2013-01-15 20:30:01,2013-02-01 16:56:31
22,Local allometric equation id:06 (citation_id: 701 site_id: 1072),"leaf_length = 1.27 * #_of_living_leaves + 8.3
",701,2013-09-12 15:34:04,2013-09-26 15:02:54
23,Local allometric equation id:07 (citation_id: 701 site_id: 1072),"plant_dry_weight = 0.000324 * #_of_living_leaves ^ 3 + 0.67
",701,2013-09-24 18:07:16,2013-09-26 15:03:01
24,Local allometric equation id:08 (citation_id: 701 site_id: 1072),"leaf_area = 0.471 * leaf_length ^ 2 + 29.3
",701,2013-09-24 18:07:46,2013-09-26 15:03:09
25,Local allometric equation id:09 (citation_id: 701 site_id: 1072),"leaf_dry_weight = 0.00000142 * leaf_length ^ 3 + 0.003

",701,2013-09-24 18:08:14,2013-09-26 15:03:15
26,Local allometric equation id:10 (citation_id: 701 site_id: 1072),"root_dry_weight = -0.00085 * #_of_living_leaves + 0.11
",701,2013-09-24 18:10:31,2013-09-26 15:03:22
27,Local allometric equation id:11 (citation_id: 701 site_id: 1072),"dead_leaf_dry_weight = 0.00000097 * leaf_length ^ 3 + 0.002
",701,2013-09-24 18:10:36,2013-09-26 15:03:31
28,Local allometric equation id:13 (citation_id: 703 site_id: 1074),"leaf_biomass = 39.943 * #_of_living_leaves - 364.677
",703,2013-09-24 18:10:47,2013-09-26 15:03:52
29,Local allometric equation id:12 (citation_id: 703 site_id: 1074),"root_biomass = 1.0204 * #_of_living_leaves - 3.905
",703,2013-09-24 18:10:52,2013-09-26 15:03:45
30,Local allometric equation id:01 (citation_id: 702 site_id: 819),"leaf_area = 0.314 * leaf_length ^ 2
",693,2013-09-24 18:13:09,2013-09-26 15:02:09
31,Local allometric equation id:02 (citation_id: 702 site_id: 819),"leaf_area = 16.1 * leaf_length - 153
",693,2013-09-24 18:13:13,2013-09-26 15:02:15
32,Local allometric equation id:03 (citation_id: 702 site_id: 819),"leaf_dry_weight = 0.00149 * leaf_length ^ 3
",693,2013-09-24 18:13:17,2013-09-26 15:02:22
33,Local allometric equation id:04 (citation_id: 702 site_id: 819),"leaf_dry_weight = 3.06 * leaf_length - 41.3
",693,2013-09-24 18:13:22,2013-09-26 15:02:28
