id,definition,created_at,updated_at,name,parent_id,pft_type,modeltype_id
110,Early successional hardwood for eastern temperate forest. Default pft = 9. Archetypes are poplar and birch. May want to split into northern and southern types (e.g. sweetgum and tulip poplar),2011-02-01 20:21:47,2014-11-20 02:57:55.659967,temperate.Early_Hardwood.Kent,16,plant,1
131,Generic Sorghum for use with BioCro,2015-11-30 20:36:45.671684,2015-11-30 20:37:35.052745,sorghum,130,plant,2
109,based on ebifarm.salix; Willow for BioCro,2011-06-07 20:13:02,2016-01-22 17:16:02.521009,hardwood-priors,62,plant,2
125,Optical property priors for Mid Hardwood in ED2. Created by Toni Viskari and based Shawn Serbin's temperate.North_Mid_Hardwood.optics. Values from simulations of the PROSPECT4 model done by Alexey Shiklomanov.,2015-07-13 15:45:00.627735,2015-07-13 15:45:00.627735,Optics.Temperate_Mid_Hardwood,,plant,1
126,Optical property priors for Early Hardwood in ED2. Created by Toni Viskari and based Shawn Serbin's temperate.Early_Hardwood.optics. Values from simulations of the PROSPECT4 model done by Alexey Shiklomanov.,2015-07-13 16:15:10.760912,2015-07-13 16:15:10.760912,Optics.Temperate_Early_Hardwood,,plant,1
61,created by J. Mantooth for DOE variance decomposition synthesis.,2012-11-06 16:15:33,2012-11-06 16:15:33,ebifarm.quru.doe_vd,,plant,1
70,temperate conifer. edited by SPS for DOE synthesis paper.,2010-06-29 20:09:20,2013-05-23 17:11:38,tempconif.doe_vd,,plant,1
19,"Late successional conifer (e.g. hemlock, juniper, cedar) for eastern temperate forest.  Default pft = 8.",2011-02-01 20:35:23,2011-02-01 20:35:23,temperate.Late_Conifer,,plant,1
22,"Southern half of mid-successional temperate hardwoods (e.g. oak, hickory).  No default PFT.",2011-02-01 20:41:20,2011-02-01 20:41:20,temperate.South_Mid_Hardwood,,plant,1
127,Optical property priors for Late Conifer in ED2. Created by Toni Viskari and based Shawn Serbin's temperate.Late_conifer.optics. Values from simulations of the PROSPECT4 model done by Alexey Shiklomanov.,2015-07-13 18:01:10.002398,2015-07-13 18:01:10.002398,Optics.Temperate_Late_Conifer,,plant,1
