pft_id,prior_id,created_at,updated_at,id
7,1,,,1
7,7,,,2
7,13,,,3
7,16,,,4
7,17,,,5
7,56,,,6
7,66,,,7
7,80,,,8
10,1,,,9
10,7,,,10
10,9,,,11
10,11,,,12
10,12,,,13
10,16,,,14
10,17,,,15
10,21,,,16
10,48,,,17
10,56,,,18
6,1,,,19
6,7,,,20
6,13,,,21
6,16,,,22
6,17,,,23
6,56,,,24
6,66,,,25
6,80,,,26
9,1,,,27
9,7,,,28
9,13,,,29
9,16,,,30
9,17,,,31
9,67,,,32
9,71,,,33
9,80,,,34
5,1,,,35
5,7,,,36
5,13,,,37
5,16,,,38
5,17,,,39
5,71,,,40
5,80,,,41
5,93,,,42
8,1,,,43
8,24,,,44
8,28,,,45
8,39,,,46
8,46,,,47
8,51,,,48
8,55,,,49
8,63,,,50
8,69,,,51
8,75,,,52
8,77,,,53
8,80,,,54
8,79,,,55
8,81,,,56
8,82,,,57
8,83,,,58
8,84,,,59
131,287,2016-08-12 21:16:19.589323,2016-08-12 21:16:19.589323,1575
8,86,,,61
8,88,,,62
4,54,,,63
4,55,,,64
4,79,,,65
10,123,2010-08-31 16:19:13,2010-09-01 23:05:50,66
10,125,2010-08-31 16:19:13,2010-09-01 23:05:50,67
10,13,2010-08-31 16:19:13,2010-09-01 23:05:50,68
10,126,2010-08-31 16:19:13,2010-09-01 23:05:50,69
10,127,2010-08-31 16:19:13,2010-09-01 23:05:50,70
10,80,2010-08-31 16:19:13,2010-09-01 23:05:50,71
12,5,,2010-08-19 19:44:46,72
13,5,2011-01-26 21:37:28,2011-01-26 21:37:28,73
14,5,2011-01-26 21:37:28,2011-01-26 21:37:28,74
12,98,2011-01-26 21:37:28,2011-01-26 21:37:28,75
13,98,2011-01-26 21:37:28,2011-01-26 21:37:28,76
14,98,2011-01-26 21:37:28,2011-01-26 21:37:28,77
12,1,2011-01-26 22:37:34,2011-01-26 22:37:34,78
12,80,2011-01-26 22:37:34,2011-01-26 22:37:34,79
13,80,2011-01-26 22:37:34,2011-01-26 22:37:34,80
14,80,2011-01-26 22:37:34,2011-01-26 22:37:34,81
16,128,2011-02-01 20:21:47,2011-02-01 20:21:47,82
17,128,2011-02-01 20:29:56,2011-02-01 20:29:56,83
18,128,2011-02-01 20:32:40,2011-02-01 20:32:40,84
19,128,2011-02-01 20:35:23,2011-02-01 20:35:23,85
20,128,2011-02-01 20:37:47,2011-02-01 20:37:47,86
21,128,2011-02-01 20:39:36,2011-02-01 20:39:36,87
22,128,2011-02-01 20:41:20,2011-02-01 20:41:20,88
23,128,2011-02-01 20:43:53,2011-02-01 20:43:53,89
24,128,2011-02-01 20:47:51,2011-02-01 20:47:51,90
18,129,2011-02-01 20:32:40,2011-02-01 20:32:40,91
20,129,2011-02-01 20:37:47,2011-02-01 20:37:47,92
22,129,2011-02-01 20:41:20,2011-02-01 20:41:20,93
23,129,2011-02-01 20:43:53,2011-02-01 20:43:53,94
24,129,2011-02-01 20:47:51,2011-02-01 20:47:51,95
16,130,2011-02-01 20:21:47,2011-02-01 20:21:47,96
17,130,2011-02-01 20:29:56,2011-02-01 20:29:56,97
18,130,2011-02-01 20:32:40,2011-02-01 20:32:40,98
19,130,2011-02-01 20:35:23,2011-02-01 20:35:23,99
20,130,2011-02-01 20:37:47,2011-02-01 20:37:47,100
21,130,2011-02-01 20:39:36,2011-02-01 20:39:36,101
22,130,2011-02-01 20:41:20,2011-02-01 20:41:20,102
23,130,2011-02-01 20:43:53,2011-02-01 20:43:53,103
24,130,2011-02-01 20:47:51,2011-02-01 20:47:51,104
17,131,2011-02-01 20:29:56,2011-02-01 20:29:56,105
18,131,2011-02-01 20:32:40,2011-02-01 20:32:40,106
19,131,2011-02-01 20:35:23,2011-02-01 20:35:23,107
20,131,2011-02-01 20:37:47,2011-02-01 20:37:47,108
23,131,2011-02-01 20:43:53,2011-02-01 20:43:53,109
17,132,2011-02-01 20:29:56,2011-02-01 20:29:56,110
18,132,2011-02-01 20:32:40,2011-02-01 20:32:40,111
19,132,2011-02-01 20:35:23,2011-02-01 20:35:23,112
20,132,2011-02-01 20:37:47,2011-02-01 20:37:47,113
23,132,2011-02-01 20:43:53,2011-02-01 20:43:53,114
22,133,2011-02-01 20:41:20,2011-02-01 20:41:20,115
24,133,2011-02-01 20:47:51,2011-02-01 20:47:51,116
16,134,2011-02-01 20:21:47,2011-02-01 20:21:47,117
17,134,2011-02-01 20:29:56,2011-02-01 20:29:56,118
18,134,2011-02-01 20:32:40,2011-02-01 20:32:40,119
19,134,2011-02-01 20:35:23,2011-02-01 20:35:23,120
20,134,2011-02-01 20:37:47,2011-02-01 20:37:47,121
21,134,2011-02-01 20:39:36,2011-02-01 20:39:36,122
22,134,2011-02-01 20:41:20,2011-02-01 20:41:20,123
23,134,2011-02-01 20:43:53,2011-02-01 20:43:53,124
24,134,2011-02-01 20:47:51,2011-02-01 20:47:51,125
15,135,2011-02-01 16:06:06,2011-02-01 16:06:06,126
16,135,2011-02-01 20:21:47,2011-02-01 20:21:47,127
17,135,2011-02-01 20:29:56,2011-02-01 20:29:56,128
18,135,2011-02-01 20:32:40,2011-02-01 20:32:40,129
19,135,2011-02-01 20:35:23,2011-02-01 20:35:23,130
20,135,2011-02-01 20:37:47,2011-02-01 20:37:47,131
21,135,2011-02-01 20:39:36,2011-02-01 20:39:36,132
22,135,2011-02-01 20:41:20,2011-02-01 20:41:20,133
23,135,2011-02-01 20:43:53,2011-02-01 20:43:53,134
24,135,2011-02-01 20:47:51,2011-02-01 20:47:51,135
17,136,2011-02-01 20:29:56,2011-02-01 20:29:56,136
18,136,2011-02-01 20:32:40,2011-02-01 20:32:40,137
19,136,2011-02-01 20:35:23,2011-02-01 20:35:23,138
20,136,2011-02-01 20:37:47,2011-02-01 20:37:47,139
22,136,2011-02-01 20:41:20,2011-02-01 20:41:20,140
23,136,2011-02-01 20:43:53,2011-02-01 20:43:53,141
24,136,2011-02-01 20:47:51,2011-02-01 20:47:51,142
18,98,2011-02-01 20:32:40,2011-02-01 20:32:40,143
20,98,2011-02-01 20:37:47,2011-02-01 20:37:47,144
22,98,2011-02-01 20:41:20,2011-02-01 20:41:20,145
23,98,2011-02-01 20:43:53,2011-02-01 20:43:53,146
24,98,2011-02-01 20:47:51,2011-02-01 20:47:51,147
18,77,2011-02-01 20:32:40,2011-02-01 20:32:40,148
20,77,2011-02-01 20:37:47,2011-02-01 20:37:47,149
22,77,2011-02-01 20:41:20,2011-02-01 20:41:20,150
23,77,2011-02-01 20:43:53,2011-02-01 20:43:53,151
24,77,2011-02-01 20:47:51,2011-02-01 20:47:51,152
17,7,2011-02-01 20:29:56,2011-02-01 20:29:56,153
18,7,2011-02-01 20:32:40,2011-02-01 20:32:40,154
19,7,2011-02-01 20:35:23,2011-02-01 20:35:23,155
20,7,2011-02-01 20:37:47,2011-02-01 20:37:47,156
21,7,2011-02-01 20:39:36,2011-02-01 20:39:36,157
22,7,2011-02-01 20:41:20,2011-02-01 20:41:20,158
23,7,2011-02-01 20:43:53,2011-02-01 20:43:53,159
24,7,2011-02-01 20:47:51,2011-02-01 20:47:51,160
15,63,2011-02-01 16:06:06,2011-02-01 16:06:06,161
16,63,2011-02-01 20:21:47,2011-02-01 20:21:47,162
17,63,2011-02-01 20:29:56,2011-02-01 20:29:56,163
18,63,2011-02-01 20:32:40,2011-02-01 20:32:40,164
19,63,2011-02-01 20:35:23,2011-02-01 20:35:23,165
20,63,2011-02-01 20:37:47,2011-02-01 20:37:47,166
21,63,2011-02-01 20:39:36,2011-02-01 20:39:36,167
22,63,2011-02-01 20:41:20,2011-02-01 20:41:20,168
23,63,2011-02-01 20:43:53,2011-02-01 20:43:53,169
24,63,2011-02-01 20:47:51,2011-02-01 20:47:51,170
16,75,2011-02-01 20:21:47,2011-02-01 20:21:47,171
21,75,2011-02-01 20:39:36,2011-02-01 20:39:36,172
22,75,2011-02-01 20:41:20,2011-02-01 20:41:20,173
23,75,2011-02-01 20:43:53,2011-02-01 20:43:53,174
24,75,2011-02-01 20:47:51,2011-02-01 20:47:51,175
17,137,2011-02-01 20:29:56,2011-02-01 20:29:56,176
18,137,2011-02-01 20:32:40,2011-02-01 20:32:40,177
20,137,2011-02-01 20:37:47,2011-02-01 20:37:47,178
16,138,2011-02-01 20:21:47,2011-02-01 20:21:47,179
17,138,2011-02-01 20:29:56,2011-02-01 20:29:56,180
18,138,2011-02-01 20:32:40,2011-02-01 20:32:40,181
19,138,2011-02-01 20:35:23,2011-02-01 20:35:23,182
20,138,2011-02-01 20:37:47,2011-02-01 20:37:47,183
21,138,2011-02-01 20:39:36,2011-02-01 20:39:36,184
22,138,2011-02-01 20:41:20,2011-02-01 20:41:20,185
23,138,2011-02-01 20:43:53,2011-02-01 20:43:53,186
24,138,2011-02-01 20:47:51,2011-02-01 20:47:51,187
15,17,2011-02-01 16:06:06,2011-02-01 16:06:06,188
16,17,2011-02-01 20:21:47,2011-02-01 20:21:47,189
17,17,2011-02-01 20:29:56,2011-02-01 20:29:56,190
18,17,2011-02-01 20:32:40,2011-02-01 20:32:40,191
19,17,2011-02-01 20:35:23,2011-02-01 20:35:23,192
20,17,2011-02-01 20:37:47,2011-02-01 20:37:47,193
21,17,2011-02-01 20:39:36,2011-02-01 20:39:36,194
22,17,2011-02-01 20:41:20,2011-02-01 20:41:20,195
23,17,2011-02-01 20:43:53,2011-02-01 20:43:53,196
24,17,2011-02-01 20:47:51,2011-02-01 20:47:51,197
18,47,2011-02-01 20:32:40,2011-02-01 20:32:40,198
20,47,2011-02-01 20:37:47,2011-02-01 20:37:47,199
22,47,2011-02-01 20:41:20,2011-02-01 20:41:20,200
23,47,2011-02-01 20:43:53,2011-02-01 20:43:53,201
24,47,2011-02-01 20:47:51,2011-02-01 20:47:51,202
15,5,2011-02-01 16:06:06,2011-02-01 16:06:06,203
16,5,2011-02-01 20:21:47,2011-02-01 20:21:47,204
17,5,2011-02-01 20:29:56,2011-02-01 20:29:56,205
18,5,2011-02-01 20:32:40,2011-02-01 20:32:40,206
19,5,2011-02-01 20:35:23,2011-02-01 20:35:23,207
20,5,2011-02-01 20:37:47,2011-02-01 20:37:47,208
21,5,2011-02-01 20:39:36,2011-02-01 20:39:36,209
22,5,2011-02-01 20:41:20,2011-02-01 20:41:20,210
23,5,2011-02-01 20:43:53,2011-02-01 20:43:53,211
24,5,2011-02-01 20:47:51,2011-02-01 20:47:51,212
15,80,2011-02-01 16:06:06,2011-02-01 16:06:06,213
16,80,2011-02-01 20:21:47,2011-02-01 20:21:47,214
17,80,2011-02-01 20:29:56,2011-02-01 20:29:56,215
18,80,2011-02-01 20:32:40,2011-02-01 20:32:40,216
19,80,2011-02-01 20:35:23,2011-02-01 20:35:23,217
20,80,2011-02-01 20:37:47,2011-02-01 20:37:47,218
21,80,2011-02-01 20:39:36,2011-02-01 20:39:36,219
22,80,2011-02-01 20:41:20,2011-02-01 20:41:20,220
23,80,2011-02-01 20:43:53,2011-02-01 20:43:53,221
24,80,2011-02-01 20:47:51,2011-02-01 20:47:51,222
12,91,2011-02-09 12:42:31,2011-02-09 12:42:31,223
12,9,2011-02-09 12:42:35,2011-02-09 12:42:35,224
13,129,2011-01-18 13:08:54,2011-01-18 13:08:54,225
14,129,2011-01-18 13:09:00,2011-01-18 13:09:00,226
13,128,2011-01-18 13:08:54,2011-01-18 13:08:54,227
14,128,2011-01-18 13:09:00,2011-01-18 13:09:00,228
16,139,2011-02-01 20:21:47,2011-02-01 20:21:47,229
17,139,2011-02-01 20:29:56,2011-02-01 20:29:56,230
18,139,2011-02-01 20:32:40,2011-02-01 20:32:40,231
19,139,2011-02-01 20:35:23,2011-02-01 20:35:23,232
20,139,2011-02-01 20:37:47,2011-02-01 20:37:47,233
21,139,2011-02-01 20:39:36,2011-02-01 20:39:36,234
22,139,2011-02-01 20:41:20,2011-02-01 20:41:20,235
23,139,2011-02-01 20:43:53,2011-02-01 20:43:53,236
24,139,2011-02-01 20:47:51,2011-02-01 20:47:51,237
13,47,2011-01-18 13:08:54,2011-01-18 13:08:54,238
14,47,2011-01-18 13:09:00,2011-01-18 13:09:00,239
13,63,2011-01-18 13:08:54,2011-01-18 13:08:54,240
14,63,2011-01-18 13:09:00,2011-01-18 13:09:00,241
13,24,2011-01-18 13:08:54,2011-01-18 13:08:54,242
