id,citation_id,variable_id,phylogeny,distn,parama,paramb,paramc,n,notes,created_at,updated_at
1,276,36,plants,gamma,1.47,0.0578,,0,"optimized to gamma with 95% CI = [5,80]; median = 20",,2011-12-06 21:10:41
5,,49,all plants,beta,1.5,1.5,,0,a weak prior for use when no data available,,2010-08-19 19:44:46
17,276,44,monocots,beta,3.61,0.433,,0,"Given the default ED parameter is 0.95, we found a relatively broad prior with a $95\% \text{CI} = [0.50, 1]$, a median at 0.95",,2011-12-08 15:40:15
286,837,583,all plants,unif,0,0.3,,0,"",2015-06-09 16:23:35.722602,2015-06-09 16:23:35.722602
40,51,4,"",lnorm,4.51,0.64,,19,"converted by the Vcmax=Vm0* C1 * exp (C2 * (1/288.15-1/T); C1=1; C2=3000, T: temperature at which Vcmax was measured (Kelvin), in this case Vm0=Vcmax/1.41",,2011-09-30 14:37:16
45,,22,"",gamma,12.8,0.18,,50,calculate from 7 biomes,,2011-06-02 17:18:11
46,,22,"",gamma,3.06,0.07,,90,calculate from 9 biomesMcGlone,,2012-11-09 01:03:34
57,225,27,plants,beta,4.06,7.2,,0,"set to mean = 0.333 based on ED2.2 default, but a reasonable general default",,2013-08-27 21:32:07
287,838,568,grass,lnorm,0.18,0.43,,10,"Broad prior that covers ranges for grasses in Campbell and Norman table 15.1

library(rriskDistributions)
fit.perc(p = c(0.05, 0.5, 0.95), q = c(0.6, 1.2, 2.5), tolConv = 0.1)
## alternatively, given a distribution:
get.lnorm.par(p = c(0.05, 0.5, 0.95), q = c(0.6, 1.2, 2.5))",2015-06-30 22:26:04.79331,2015-06-30 22:29:47.641388
60,160,10,"",weibull,2.9,2.2,,95,Used glopnet data from appendix,,2010-12-08 19:44:16
288,840,492,Miscanthus,lnorm,-2.3,0.55,,0,Based on default BioCro parameterization of kd = 0.1,2015-07-01 20:43:34.849482,2015-07-01 20:43:34.849482
10,203,22,C3 grass,lnorm,1.24,0.9,,10,data from 10 c3 grasses reported in appendix of Oyarzabal 2008,,2015-03-16 16:25:47.434342
63,198,193,trees,beta,1.1,1.5,,0,"",,2010-06-29 22:44:31
48,195,39,C4 crops,norm,0.057,0.006,,56,"very similar to prior 175, but prior 175 is calculated directly from data provided by author; this prior is taken directly from table 1 data for C4 crops.",,2015-03-16 16:25:47.434342
69,,26,"",lnorm,1.76,0.38,,0,"",,2012-11-02 16:05:29
70,,26,"",weibull,7.11,6.29,,16,"",,2012-01-27 17:34:42
49,195,39,CAM,norm,0.033,0.02,,6,"",,2015-03-16 16:25:47.434342
11,203,22,C4 grass,gamma,6.53,1.49,,17,"based on posterior predictive interval for an unobserved C4 species from a meta-analysis of 7 C4 species and 10 C3 species from Oyarzabal (excluding panicum virgatum); variance inflated x4.
",,2015-03-16 16:25:47.434342
75,,21,"",lnorm,0.21,0.6,,0,"chapin, matson, mooney text table 6.2 and medvigy - set normal distribution with ratio of max allocation to roots /min allocation to leaves as upper bound (4) and current conifer q (0.38) as lower bound",,2012-11-02 20:33:59
21,477,26,C4 grass,weibull,3.63,3.81,,4,Slope parameter from leuning model,,2015-03-16 16:25:47.434342
90,276,37,C4 grass,norm,10,5,,0,guess by dsl,2010-06-29 20:00:24,2015-03-16 16:25:47.434342
47,195,39,C3 plants,weibull,8.32,0.0552,,74,"",,2015-03-16 16:25:47.434342
83,160,40,"",weibull,1.37,1.43,,363,Calculated using betydb.prior.calc.R from glopnet.csv (glopnet.csv is the wright2004wwl appendix from Nature) ,,2012-01-31 00:39:46
92,160,31,herbs,gamma,6.7,0.33,,379,estimated c2n_leaf from glopnet data by 48/leafN,2010-06-29 20:04:10,2010-06-29 20:04:10
93,160,31,nitrogen fixer,gamma,11.18,0.78,,39,calculated c2n_leaf as 48/leafN from glopnet data,2010-06-29 21:54:43,2010-06-29 21:54:43
94,160,10,nitrogen fixer,gamma,12.2,3.34,,39,"",2010-06-29 21:57:14,2010-06-29 21:57:14
20,277,26,"",lnorm,2.3,1,,68,,,
4,276,29,grass,gamma,6,132,,0,"set median at ED default 0.04, 90%CI at 0.2, 0.8",,2015-03-16 16:12:51.510583
7,276,27,grass,beta,2.63,6.52,,0,"",,2015-03-16 16:12:51.510583
