id,name,definition,created_at,updated_at,control,user_id
1,observational,"",,2013-11-01 21:22:12,t,
2525,Observational,"",2015-03-18 15:19:02.849938,2015-03-18 15:19:02.849938,t,97
2526,Innertavle Site,"",2015-03-18 16:31:16.794669,2015-03-18 16:31:16.794669,,97
2527,Bodarna Site,"",2015-03-18 16:31:26.392973,2015-03-18 16:31:26.392973,,97
7,harvest time fall,plot-scale experiment,,,f,
8,harvest time spring,plot-scale experiment,,,f,
9,harvest time fall,field-scale experiment,,,f,
10,harvest time spring,field-scale experiment,,,f,
11,Observational,"",,2011-04-11 20:59:18,t,
2529,Rydsgard Site,"",2015-03-18 16:31:38.708719,2015-03-18 16:31:38.708719,,97
14,Observational,"",,2011-03-30 20:26:59,t,
15,Observational,"",,2011-03-30 20:24:43,t,
2530,Sangletorp Site,"",2015-03-18 16:31:45.525919,2015-03-18 16:31:45.525919,,97
18,observational,agricultural crop with no experimental treatments,,,t,
19,observational,agricultural crops with no experimental treatments,,,t,
20,observational,agricultural crops with no experimental treatments,,,t,
2531,observational,"",2015-03-31 12:28:27.712195,2015-03-31 12:36:05.952809,t,190
2532,observational,"",2015-03-31 15:43:10.122711,2015-03-31 15:43:10.122711,t,190
2534,"No water stress, no fertilization","irrigation, no fertilizer",2015-03-31 15:52:03.636831,2015-03-31 15:52:03.636831,f,190
2533,"No water stress, fertilization","irrigation, fertilizer (5.0, 4.4, 8.3 g/m2 NPK)",2015-03-31 15:51:31.823904,2015-03-31 15:52:26.457014,t,190
2535,High N (12 mM NO3-),"",2015-03-31 23:29:58.781634,2015-03-31 23:31:42.344526,t,190
2536,Low N (3 mM NO3-),"",2015-03-31 23:30:23.039348,2015-03-31 23:32:15.833325,f,190
2537,observational,"",2015-04-01 21:18:07.689635,2015-04-01 21:18:07.689635,t,190
41,Observational,"",,2011-04-06 20:49:00,t,
2538,observational,"",2015-04-02 17:16:28.618372,2015-04-02 17:16:28.618372,t,190
2539,observational,"",2015-04-02 18:44:16.252677,2015-04-02 18:44:16.252677,t,190
44,Observational,"",,2011-03-28 20:50:07,t,
45,observational,agricultural crops with no experimental treatments,,,t,
46,observational,agricultural crops with no experimental treatments,,,t,
47,observational,agricultural crops with no experimental treatments,,,t,
48,observational,agricultural crops with no experimental treatments,,,t,
49,observational,agricultural crops with no experimental treatments,,,t,
50,observational,agricultural crops with no experimental treatments,,,t,
2528,Bulltofta Site,"",2015-03-18 16:31:31.029141,2015-05-08 17:33:37.734533,,97
2574,observational,"",2015-06-30 22:45:09.95125,2015-06-30 22:45:09.95125,t,2
54,observational,agricultural crops with no experimental treatments,,,t,
55,observational,agricultural crops with no experimental treatments,,,t,
56,observational,agricultural crops with no experimental treatments,,,t,
57,Observational,"",,2011-03-30 21:06:20,t,
61,observational,agricultural crops with no experimental treatments,,,t,
62,Observational,"",,2011-02-21 21:25:06,t,
2575,Rainfed,not irrigated,2015-11-02 16:08:52.714071,2016-05-06 19:10:04.968315,t,2
66,genotype M. sacchariflorus,Sac-5,,,f,
67,genotype M. sinensis hybrid,Sin-H6,,,f,
68,genotype M. sinensis hybrid,Sin-H7,,,f,
69,genotype M. sinensis hybrid,Sin-H8,,,f,
70,genotype M. sinensis hybrid,Sin-H9,,,f,
71,genotype M. sinensis hybrid,Sin-H10,,,f,
72,genotype M. sinensis,Sin-11,,,f,
73,genotype M. sinensis,Sin-12,,,f,
74,genotype M. sinensis,Sin-13,,,f,
75,genotype M. sinensis,Sin-14,,,f,
76,genotype M. sinensis,Sin-15,,,f,
77,observational,agricultural crops with no experimental treatments,,2010-06-08 18:40:14,t,
78,Unfertilized,"",,2011-04-06 20:41:09,t,
79,Fertilization_N13.5,13.5 g N per seedling,,2011-04-06 20:41:46,f,
80,Fertilization_N27,27 g N per seedling,,2011-04-06 20:42:44,f,
81,observational,agricultural crops with no experimental treatments,,2010-06-08 18:45:41,t,
82,observational,agricultural crops with no experimental treatments,,2010-06-08 18:45:44,t,
84,observational,agricultural crops with no experimental treatments,,2010-06-08 18:45:50,t,
85,plant density 40000 plants ha-1,"",,2011-02-21 21:01:45,f,
87,Observational,"",,2011-04-06 21:10:53,t,
88,Observational,"",,2011-04-06 21:18:25,t,
89,burned,burned treatments at Konza,,,f,
91,plant date/arable,continuously-fallow,,2011-04-06 21:30:06,f,
