id,description,units,notes,created_at,updated_at,name,max,min,standard_name,standard_units,label,type
605,"","",proposed standard name for plant functional type,2016-05-18 15:44:48.424244,2016-05-18 15:44:48.424244,plant_functional_type,Infinity,-Infinity,"","","",""
155,seed germination rate,percent,"",,2011-06-06 14:40:42,seed.germ,100,0,,,,
606,"","",proposed standard for latin family name of plants,2016-05-18 15:45:31.856581,2016-05-18 15:45:31.856581,family_name,Infinity,-Infinity,"","","",""
607,"","",proposed standard for latin genus name of plant,2016-05-18 15:45:58.004736,2016-05-18 15:45:58.004736,genus_name,Infinity,-Infinity,"","","",""
22,Leaf Width,mm,"",,2011-06-06 14:40:42,leaf_width,200,0.1,,,,
23,leaf length,mm,"min from Azolla filiculoides, max from Raphia regalis",,2011-06-06 14:40:42,leaf_length,80000,1,,,,
608,"","",proposed standard for latin species name of plant,2016-05-18 15:46:28.063839,2016-05-18 15:46:28.063839,species_name,Infinity,-Infinity,"","","",""
10,Leaf Percent Nitrogen,percent,"",,2011-06-06 14:40:42,leafN,10,0.02,,,,
27,Proportion of daily carbon gain lost to growth respiration,fraction,"growth respiration factor is the fraction of new carbon gain (GPP - Rm) used in the growth of new tissues. This is an ED - specific parameter. In ED, Rg = growth_resp_factor * (GPP - Rm); where Rm is maintenance Respiration.",,2013-08-29 23:12:21,growth_resp_factor,1,0,,,,
160,percent dry matter in leaf,percent,"",,2011-06-06 14:40:42,leafDM,100,0,,,,
56,belowground root biomass,g m-2,"= rhizome + root, a.k.a. total belowground biomass. If rhizome biomass reported seperately, also enter this data seperately as a trait with variable name = rhizome_biomass",,2015-11-02 18:20:40.277355,root_biomass,Infinity,0,"","","",""
39,see Farqhuar model,fraction,"efficiency with which light is converted into fixed carbon.

mol CO2 fixed per mol irradiance. typical values ~ 0.06; not the same as ED parameter quantum_efficiency, which has same units but is ~ 0.08.",,2016-03-04 11:00:14.37698,quantum_efficiency,1,0,,,,
11,Leaf Percent C,percent,"",,2011-06-06 14:40:42,leafC,100,0,,,,
610,"","",proposed standard name for individual plant identifier from vegetation datasets,2016-05-18 15:47:47.272254,2016-05-18 15:47:47.272254,individual_id,Infinity,-Infinity,"","","",""
44,proportion of seedlings that die,fraction,model parameter: percentage of allocation to reproduction that dies and goes directly to the litter pool,,2012-01-03 23:56:13,seedling_mortality,1,0,,,,
37,Minimum temperature of photosynthesis,C,"",,2021-04-27 19:26:03.67632,Vm_low_temp,30,-20,,,,
164,percent dry matter content of aerial biomass,percent,"",,2011-06-06 14:40:42,dry_matter_content,100,0,,,,
190,percent moisture content in biomass,percent,"",,2011-06-06 14:40:42,biomassH2O,100,0,,,,
53,diameter at breast height,cm,"max based on largest tree girth (Taxodium mucronatum, including buttresses) = 11.62m, http://www.conifers.org/zz/gymnosperms.php",,2011-06-06 14:40:42,DBH,1200,0,,,,
233,carbon concentration of above_ground biomass,percent,"",2010-11-23 11:31:33,2011-06-06 14:40:42,C_above,100,0,,,,
